_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
61385,7,11,"[""Romance"",""Comedy""]","[0.569620253164557,0.45000000000000007]",61385,19348,106,1967
65134,7,11,"[""Adventure"",""Romance"",""War""]","[0.6075949367088608,0.45000000000000007]",65134,28646,116,1970
66011,6.9,11,"[""Drama"",""Romance""]","[0.6075949367088608,0.42500000000000016]",66011,35166,100,1970
70849,6.9,11,"[""Romance"",""Drama""]","[0.6329113924050633,0.42500000000000016]",70849,55007,129,1972
