_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
36027,7,11,"[""Drama"",""Fantasy"",""Horror""]","[0.26582278481012656,0.45000000000000007]",36027,12801,69,1943
37988,7.5,11,"[""Drama"",""Fantasy"",""Horror""]","[0.2911392405063291,0.5750000000000001]",37988,13602,110,1945
