_id,avgrating,cluster,genres,kMeansNorm,movie,numvotes,runtime,startyear
67756,6.6,5,"[""Drama"",""Sci-Fi""]","[0.6329113924050633,0.3499999999999999]",67756,29928,89,1972
68713,6.5,5,"[""Sci-Fi"",""Adventure"",""Horror""]","[0.6329113924050633,0.325]",68713,11505,91,1972
